sample,timepoint,species,rep,plot,treatment,location
1L,1,Brachiaria,1,1,Brachiaria cv. Mulato II,Rubona
2L,1,Napier,1,2,Napier grass,Rubona
3L,1,Desmodium,1,3,Desmodium distortum,Rubona
4L,1,Maize,1,4,Maize monocrop,Rubona
5L,1,Desmodium,1,5,Desmodium + maize,Rubona
6L,1,Maize,1,5,Desmodium + maize,Rubona
7L,1,Desmodium,1,6,Desmodium + Brachiaria,Rubona
8L,1,Brachiaria,1,6,Desmodium + Brachiaria,Rubona
9L,1,Desmodium,1,7,Desmodium + Napier,Rubona
10L,1,Napier,1,7,Desmodium + Napier,Rubona
11L,1,Desmodium,2,8,Desmodium + maize,Rubona
12L,1,Maize,2,8,Desmodium + maize,Rubona
13L,1,Desmodium,2,9,Desmodium + Brachiaria,Rubona
14L,1,Brachiaria,2,9,Desmodium + Brachiaria,Rubona
15L,1,Napier,2,10,Napier grass,Rubona
16L,1,Desmodium,2,11,Desmodium + Napier,Rubona
17L,1,Napier,2,11,Desmodium + Napier,Rubona
18L,1,Desmodium,2,12,Desmodium distortum,Rubona
19L,1,Brachiaria,2,13,Brachiaria cv. Mulato II,Rubona
20L,1,Maize,2,14,Maize monocrop,Rubona
21L,1,Brachiaria,3,15,Brachiaria cv. Mulato II,Rubona
22L,1,Desmodium,3,16,Desmodium distortum,Rubona
23L,1,Desmodium,3,17,Desmodium + maize,Rubona
24L,1,Maize,3,17,Desmodium + maize,Rubona
25L,1,Desmodium,3,18,Desmodium + Brachiaria,Rubona
26L,1,Brachiaria,3,18,Desmodium + Brachiaria,Rubona
27L,1,Maize,3,19,Maize monocrop,Rubona
28L,1,Desmodium,3,20,Desmodium + Napier,Rubona
29L,1,Napier,3,20,Desmodium + Napier,Rubona
30L,1,Napier,3,21,Napier grass,Rubona
31L,1,Desmodium,4,22,Desmodium + Brachiaria,Rubona
32L,1,Brachiaria,4,22,Desmodium + Brachiaria,Rubona
33L,1,Maize,4,23,Maize monocrop,Rubona
34L,1,Desmodium,4,24,Desmodium distortum,Rubona
35L,1,Napier,4,25,Napier grass,Rubona
36L,1,Desmodium,4,26,Desmodium + Napier,Rubona
37L,1,Napier,4,26,Desmodium + Napier,Rubona
38L,1,Brachiaria,4,27,Brachiaria cv. Mulato II,Rubona
39L,1,Desmodium,4,28,Desmodium + maize,Rubona
40L,1,Maize,4,28,Desmodium + maize,Rubona
