sample,N.corrected,d15N.corrected,protein,adf,ndf,lignin
100,1.169349709,2.566255873,6.15,43.51,78.29,2.87
101,2.600857604,8.792451168,6.71,25.44,69.71,-1.95
102,3.083404594,7.700123528,14.82,44.25,73.15,6.15
103,3.422033778,6.916532204,17.15,42.43,69.6,6.13
104,1.056563881,5.965976732,6.34,42.13,83.49,2.3
105,3.611664191,15.30384563,18.54,43.98,72.09,7.79
106,2.16871362,12.18135143,6.16,30.52,73.84,-1.17
107,1.107790029,4.263663262,6.1,40.46,82.64,3.76
108,3.248734851,3.669041697,15.35,36.74,62.42,3.69
109,2.145092713,10.89464035,9.61,39.79,83.1,3.83
11,3.148156128,2.254955757,16.79,41.46,50.24,9.93
110,2.453677613,10.04974076,10.18,41.67,81.9,3.82
111,2.801591067,-0.808480101,11.9,37.54,62.3,5.78
112,1.622735439,6.5484099,6.25,27.77,72.34,-0.26
113,1.133578278,3.809896084,4.84,38.4,77.76,3.64
114,2.223363722,1.197187649,8.15,34.6,57.61,3.16
115,1.444010558,9.374666999,5.33,41.5,83.57,2.42
116,3.613767183,9.001658743,17.61,42.13,71.62,9.26
117,1.491839564,11.72938638,4.25,42.87,79.34,3.15
118,1.692307583,4.966436122,7.39,26.92,62.66,-0.22
119,3.208904903,2.932577521,15.29,40.9,67.06,6.2
12,1.150826715,3.538738908,5.96,38.22,75.79,3.99
120,0.890246031,1.877323954,5.55,38.96,80.11,3.55
13,2.746644339,2.943863021,12.81,45.5,56.98,11.44
14,1.8066556995,2.9269319935,7.37,24.7,63.27,-0.32
17,1.762480508,3.289701814,9.58,32.26,68.15,0.66
2,1.992315443,4.8922050895,11.09,36.33,70.33,2.01
20,1.097306093,5.594384533,7.41,37.27,75.49,4.88
201,1.587185657,3.021130029,8.48,29.32,59.09,1.47
202,1.737386522,4.269807001,8.94,36.11,70.35,2.11
203,4.2255731455,47.74697232,25,25.94,27.02,5.93
204,1.825265338,4.615996257,8.59,39.22,67.65,4.08
