batch,sample,N.corrected,d15N.corrected,corrected.CN,timepoint,species,rep,plot,treatment,location,intercrop,beta,d15N_ref,ndfa
1,3L,2.897130353,0.223275332,14.65089683,1,Desmodium,1,3,Desmodium,Rubona,no,-1.55,4.127350146,68.76579238
1,5L,3.295872322,3.400893573,12.55180276,1,Desmodium,1,5,Desmodium + maize,Rubona,yes,-1.55,4.127350146,12.7956979
1,7L,3.220068391,-2.79852977,13.29205414,1,Desmodium,1,6,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,121.9914174
1,9L,3.136404281,-1.715220026,13.18998942,1,Desmodium,1,7,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,102.9101609
1,11L,3.148156128,2.254955757,13.08279951,1,Desmodium,2,8,Desmodium + maize,Rubona,yes,-1.55,4.127350146,32.98007594
1,13L,2.746644339,2.943863021,15.48017515,1,Desmodium,2,9,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,20.84576598
1,23L,3.00687181,1.771227837,14.11618473,1,Desmodium,3,17,Desmodium + maize,Rubona,yes,-1.55,4.127350146,41.50038748
1,25L,3.291638041,-2.304904508,13.23583789,1,Desmodium,3,18,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,113.2967756
1,34L,2.836545967,4.119489806,14.92844266,1,Desmodium,4,24,Desmodium,Rubona,no,-1.55,4.127350146,0.138450867
1,53L,2.609305026,2.757372494,16.2914695,1,Desmodium,2,9,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,29.47083551
1,56L,3.077706519,1.474981899,13.72905169,1,Desmodium,2,11,Desmodium + Napier,Karama,yes,-1.55,4.557221779,50.46877273
1,62L,2.482555031,1.931223998,16.95422334,1,Desmodium,3,16,Desmodium,Karama,no,-1.55,4.557221779,42.99823841
1,71L,2.498742748,3.288970795,16.99406725,1,Desmodium,4,22,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,20.76641441
1,74L,2.846580236,3.537986919,14.73802109,1,Desmodium,4,24,Desmodium,Karama,no,-1.55,4.557221779,16.6890101
1,76L,3.064493827,1.060774043,13.91326801,1,Desmodium,4,26,Desmodium + Napier,Karama,yes,-1.55,4.557221779,57.25103594
2,93L,3.205806273,1.92935895,13.1145151,1,Desmodium,2,9,Desmodium + Brachiaria,Burera,yes,-1.55,5.295992507,49.17670526
2,98L,3.173469521,1.828648338,13.53906563,1,Desmodium,2,12,Desmodium,Burera,no,-1.55,5.295992507,50.64779381
2,96L,3.20519763,-0.073517903,13.60836367,1,Desmodium,2,11,Desmodium + Napier,Burera,yes,-1.55,5.295992507,78.43289931
2,108L,3.248734851,3.669041697,12.98022548,1,Desmodium,3,20,Desmodium + Napier,Burera,yes,-1.55,5.295992507,23.76501009
2,111L,2.801591067,-0.808480101,15.54621495,1,Desmodium,4,22,Desmodium + Brachiaria,Burera,yes,-1.55,5.295992507,89.16855521
2,114L,2.223363722,1.197187649,19.42646202,1,Desmodium,4,24,Desmodium,Burera,no,-1.55,5.295992507,59.87159428
2,119L,3.208904903,2.932577521,13.25698621,1,Desmodium,4,28,Desmodium + maize,Burera,yes,-1.55,5.295992507,34.52260551
2,205L,2.951926888,2.563901639,14.26082124,2,Desmodium,1,5,Desmodium + maize,Rubona,yes,-1.55,4.127350146,27.53834918
2,207L,3.124950541,-0.403171181,13.89699461,2,Desmodium,1,6,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,79.79992797
2,211L,3.164774232,1.776169558,13.55910472,2,Desmodium,2,8,Desmodium + maize,Rubona,yes,-1.55,4.127350146,41.41334474
2,213L,3.04644537,-0.776388389,14.32344651,2,Desmodium,2,9,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,86.37372029
