sample,mg_kg_NO3N,location,rep,plot,treatment,gwc,timepoint,mg_kg_NH4N,minN,pH
101,11.07256669,Rubona,1,1,Brachiaria cv. Mulato II,0.11209068,Harvest 1,0.116929712,11.1894964,5.3
102,10.119591,Rubona,1,2,Napier grass,0.132330827,Harvest 1,0.123014578,10.24260558,5.92
103,8.290449844,Rubona,1,3,Desmodium,0.10619469,Harvest 1,0.341568439,8.632018283,5.37
104,6.648437987,Rubona,1,4,Maize monocrop,0.12327044,Harvest 1,0.34938117,6.997819157,5.4
105,8.97442101,Rubona,1,5,Desmodium + maize,0.127921279,Harvest 1,0.428159277,9.402580287,5.28
106,5.445494281,Rubona,1,6,Desmodium + Brachiaria,0.125935162,Harvest 1,0.471142622,5.916636903,5.32
107,3.528901533,Rubona,1,7,Desmodium + Napier,0.139715395,Harvest 1,0.52345224,4.052353773,5.32
108,15.14870807,Rubona,2,8,Desmodium + maize,0.13141994,Harvest 1,0.378414378,15.52712245,5.2
109,5.421172742,Rubona,2,9,Desmodium + Brachiaria,0.118357488,Harvest 1,0.19629908,5.617471822,5.19
110,4.830413517,Rubona,2,10,Napier grass,0.115890084,Harvest 1,0.437506408,5.267919925,5.22
111,3.938701791,Rubona,2,11,Desmodium + Napier,0.120541205,Harvest 1,0.265036169,4.20373796,5.29
112,9.536405627,Rubona,2,12,Desmodium,0.104633782,Harvest 1,0.471344997,10.00775062,5.15
113,7.435932862,Rubona,2,13,Brachiaria cv. Mulato II,0.127596439,Harvest 1,0.547908086,7.983840948,5.28
114,11.30650455,Rubona,2,14,Maize monocrop,0.10102489,Harvest 1,0.433327004,11.73983155,5.24
115,7.667698945,Rubona,3,15,Brachiaria cv. Mulato II,0.143939394,Harvest 1,0.26065981,7.928358755,5.41
116,15.93536969,Rubona,3,16,Desmodium,0.145675266,Harvest 1,0.192086546,16.12745624,5.43
117,9.355489515,Rubona,3,17,Desmodium + maize,0.131818182,Harvest 1,0.438013806,9.793503321,5.61
118,7.082803011,Rubona,3,18,Desmodium + Brachiaria,0.145057766,Harvest 1,0.401836914,7.484639925,5.53
119,12.35954743,Rubona,3,19,Maize monocrop,0.13253012,Harvest 1,0.293006328,12.65255376,5.46
120,5.9390658,Rubona,3,20,Desmodium + Napier,0.145061728,Harvest 1,0.46245343,6.40151923,5.63
121,3.795456709,Rubona,3,21,Napier grass,0.147812971,Harvest 1,0.624236539,4.419693248,5.67
122,6.281150197,Rubona,4,22,Desmodium + Brachiaria,0.12804878,Harvest 1,0.149536107,6.430686304,5.59
123,7.721235993,Rubona,4,23,Maize monocrop,0.326894502,Harvest 1,0.181086843,7.902322836,4.81
124,7.682260427,Rubona,4,24,Desmodium,0.118694362,Harvest 1,0.261808192,7.944068619,5.24
125,4.352471856,Rubona,4,25,Napier grass,0.136778116,Harvest 1,0.209717611,4.562189467,5.27
127,9.233965741,Rubona,4,27,Brachiaria cv. Mulato II,0.127364439,Harvest 1,0.349631781,9.583597522,5.38
128,11.70526527,Rubona,4,28,Desmodium + maize,0.132911392,Harvest 1,0.459039761,12.16430503,5.37
129,12.54405074,Karama,1,1,Brachiaria cv. Mulato II,0.139784946,Harvest 1,0.554763973,13.09881471,5.81
130,14.2235788,Karama,1,2,Napier grass,0.283246978,Harvest 1,0.709317455,14.93289626,5.25
131,13.38876304,Karama,1,3,Desmodium,0.135168961,Harvest 1,0.380000752,13.76876379,5.49
132,11.21743386,Karama,1,4,Maize monocrop,0.151607963,Harvest 1,0.63066236,11.84809622,6.12
133,11.61578428,Karama,1,5,Desmodium + maize,0.151745068,Harvest 1,0.256427372,11.87221165,6.2
134,12.85278538,Karama,1,6,Desmodium + Brachiaria,0.149309912,Harvest 1,0.273816652,13.12660203,5.7
135,8.432303832,Karama,1,7,Desmodium + Napier,0.096582467,Harvest 1,0.278093867,8.710397699,6.42
136,18.23519838,Karama,2,8,Desmodium + maize,0.151376147,Harvest 1,0.418878708,18.65407709,6.2
137,13.74857517,Karama,2,9,Desmodium + Brachiaria,0.150769231,Harvest 1,0.206012718,13.95458789,5.87
138,9.40221985,Karama,2,10,Napier grass,0.121765601,Harvest 1,0.254357113,9.656576963,5.72
139,10.43252585,Karama,2,11,Desmodium + Napier,0.134005764,Harvest 1,0.296494578,10.72902043,5.56
140,15.38025126,Karama,2,12,Desmodium,0.166144201,Harvest 1,0.126537834,15.50678909,5.96
141,9.745015984,Karama,2,13,Brachiaria cv. Mulato II,0.13030303,Harvest 1,0.567333106,10.31234909,6.11
142,9.816176307,Karama,2,14,Maize monocrop,0.122913505,Harvest 1,0.199700317,10.01587662,5.92
143,11.9963387,Karama,3,15,Brachiaria cv. Mulato II,0.148484848,Harvest 1,0.319721783,12.31606048,5.59
144,20.51933794,Karama,3,16,Desmodium,0.147905759,Harvest 1,0.342774379,20.86211232,6.16
145,14.48797905,Karama,3,17,Desmodium + maize,0.13810111,Harvest 1,0.325146019,14.81312507,5.57
146,11.45978609,Karama,3,18,Desmodium + Brachiaria,0.130044843,Harvest 1,0.336744141,11.79653023,6.08
147,13.34831143,Karama,3,19,Maize monocrop,0.154716981,Harvest 1,0.069141501,13.41745293,6
148,11.42758319,Karama,3,20,Desmodium + Napier,0.157894737,Harvest 1,-0.025302963,11.40228023,5.73
149,7.265045496,Karama,3,21,Napier grass,0.123493976,Harvest 1,0.111799012,7.376844508,5.83
150,11.96131052,Karama,4,22,Desmodium + Brachiaria,0.171171171,Harvest 1,0.126739389,12.08804991,5.74
151,15.13612201,Karama,4,23,Maize monocrop,0.137469586,Harvest 1,0.051073547,15.18719556,6
152,12.78823499,Karama,4,24,Desmodium,0.128129602,Harvest 1,0.044388346,12.83262334,6.4
153,13.58784688,Karama,4,25,Napier grass,0.135135135,Harvest 1,0.041196478,13.62904336,6.02
154,8.081004981,Karama,4,26,Desmodium + Napier,0.132390746,Harvest 1,0.094877006,8.175881987,6
155,17.7870182,Karama,4,27,Brachiaria cv. Mulato II,0.177496038,Harvest 1,0.058648707,17.84566691,6.55
156,8.656467276,Karama,4,28,Desmodium + maize,0.148854962,Harvest 1,0.022373734,8.67884101,6.38
157,14.24049672,Burera,1,1,Brachiaria cv. Mulato II,0.334782609,Harvest 1,0.18515316,14.42564988,5.09
158,13.83715884,Burera,1,2,Napier grass,0.31826087,Harvest 1,0.865160636,14.70231948,4.69
159,16.65117248,Burera,1,3,Desmodium,0.320970043,Harvest 1,1.00604909,17.65722157,4.53
160,16.17866235,Burera,1,4,Maize monocrop,0.309314587,Harvest 1,0.957011092,17.13567344,4.52
161,16.15932655,Burera,1,5,Desmodium + maize,0.342245989,Harvest 1,0.735049195,16.89437574,4.56
162,13.88499556,Burera,1,6,Desmodium + Brachiaria,0.335347432,Harvest 1,0.634029953,14.51902551,4.63
163,11.6302586,Burera,1,7,Desmodium + Napier,0.302765648,Harvest 1,0.97229695,12.60255555,4.52
164,12.93838412,Burera,2,8,Desmodium + maize,0.353873239,Harvest 1,0.471094504,13.40947862,4.99
165,11.99316211,Burera,2,9,Desmodium + Brachiaria,0.316901408,Harvest 1,0.63708889,12.630251,4.66
166,8.304989406,Burera,2,10,Napier grass,0.293609672,Harvest 1,0.926657812,9.231647218,4.63
167,15.86040106,Burera,2,11,Desmodium + Napier,0.299483649,Harvest 1,0.848157265,16.70855833,4.67
168,11.10629179,Burera,2,12,Desmodium,0.300142248,Harvest 1,0.592979704,11.69927149,4.47
169,5.980247271,Burera,2,13,Brachiaria cv. Mulato II,0.298984035,Harvest 1,0.346330603,6.326577874,4.71
170,7.923679253,Burera,2,14,Maize monocrop,0.31,Harvest 1,0.654298276,8.577977529,4.68
171,18.67793613,Burera,3,15,Brachiaria cv. Mulato II,0.331588133,Harvest 1,0.785892677,19.46382881,4.37
172,17.23041991,Burera,3,16,Desmodium,0.326164875,Harvest 1,1.107986647,18.33840656,4.42
173,19.37339263,Burera,3,17,Desmodium + maize,0.347670251,Harvest 1,1.023147016,20.39653965,4.71
174,17.43128376,Burera,3,18,Desmodium + Brachiaria,0.34402852,Harvest 1,0.862712054,18.29399581,4.57
175,14.3726815,Burera,3,19,Maize monocrop,0.302023121,Harvest 1,1.076291919,15.44897342,4.42
176,16.24529356,Burera,3,20,Desmodium + Napier,0.327195467,Harvest 1,1.26303415,17.50832771,4.41
177,12.17835013,Burera,3,21,Napier grass,0.305916306,Harvest 1,0.844379463,13.02272959,4.51
178,10.15533789,Burera,4,22,Desmodium + Brachiaria,0.297909408,Harvest 1,0.569245604,10.72458349,4.53
179,11.01822518,Burera,4,23,Maize monocrop,0.296551724,Harvest 1,0.655843217,11.6740684,4.88
180,8.313647913,Burera,4,24,Desmodium,0.294627383,Harvest 1,0.607603428,8.921251341,4.68
181,8.604673625,Burera,4,25,Napier grass,0.297063903,Harvest 1,0.814948918,9.419622543,4.61
182,6.429615515,Burera,4,26,Desmodium + Napier,0.267111853,Harvest 1,0.782903986,7.212519501,4.59
183,9.107394885,Burera,4,27,Brachiaria cv. Mulato II,0.286212914,Harvest 1,0.589469553,9.696864438,4.63
184,6.229480183,Burera,4,28,Desmodium + maize,0.28109029,Harvest 1,0.466050379,6.695530562,4.7
201,11.20548498,Rubona,1,1,Brachiaria cv. Mulato II,0.089970501,Harvest 2,0.260885498,11.46637048,5.62
202,1.469968456,Rubona,1,2,Napier grass,0.084671533,Harvest 2,0.241013242,1.710981698,5.63
203,6.187025833,Rubona,1,3,Desmodium,0.087407407,Harvest 2,0.246127491,6.433153324,5.88
204,1.595132669,Rubona,1,4,Maize monocrop,0.078055965,Harvest 2,0.266566557,1.861699226,5.64
205,3.711002335,Rubona,1,5,Desmodium + maize,0.077697842,Harvest 2,0.217261826,3.928264161,5.62
206,5.225047741,Rubona,1,6,Desmodium + Brachiaria,0.092511013,Harvest 2,0.337303996,5.562351737,5.69
207,2.184333667,Rubona,1,7,Desmodium + Napier,0.082132565,Harvest 2,0.239074824,2.423408491,5.59
208,9.393632738,Rubona,2,8,Desmodium + maize,0.075362319,Harvest 2,0.290747261,9.684379999,5.56
