sample,location,treatment,species,timepoint,block
1R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,1,1
2R,Rubona,Napier ,Napier,1,1
3R,Rubona,Desmodium ,Desmodium,1,1
4R,Rubona,Maize monocrop ,Maize,1,1
5R,Rubona,Desmodium + maize,Desmodium,1,1
6R,Rubona,Desmodium + maize,Maize,1,1
7R,Rubona,Desmodium + Brachiaria ,Desmodium,1,1
8R,Rubona,Desmodium + Brachiaria ,Brachiaria,1,1
9R,Rubona,Napier + Desmodium,Desmodium,1,1
10R,Rubona,Napier + Desmodium,Napier,1,1
11R,Rubona,Desmodium + maize,Desmodium,1,2
12R,Rubona,Desmodium + maize,Maize,1,2
13R,Rubona,Desmodium + Brachiaria ,Desmodium,1,2
14R,Rubona,Desmodium + Brachiaria ,Brachiaria,1,2
15R,Rubona,Napier,Napier,1,2
16R,Rubona,Napier + Desmodium,Desmodium,1,2
17R,Rubona,Napier + Desmodium,Napier,1,2
18R,Rubona,Desmodium,Desmodium,1,2
19R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,1,2
20R,Rubona,Maize,Maize,1,2
21R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,1,3
22R,Rubona,Desmodium,Desmodium,1,3
23R,Rubona,Desmodium + maize,Desmodium,1,3
24R,Rubona,Desmodium + maize,Maize,1,3
25R,Rubona,Desmodium + Brachiaria,Desmodium,1,3
26R,Rubona,Desmodium + Brachiaria,Brachiaria,1,3
27R,Rubona,Maize monocrop,Maize,1,3
28R,Rubona,Napier + Desmodium,Desmodium,1,3
29R,Rubona,Napier + Desmodium,Napier,1,3
30R,Rubona,Napier,Napier,1,3
31R,Rubona,Desmodium + Brachiaria,Desmodium,1,4
32R,Rubona,Desmodium + Brachiaria,Brachiaria,1,4
33R,Rubona,Maize monocrop,Maize,1,4
34R,Rubona,Desmodium,Desmodium,1,4
35R,Rubona,Napier,Napier,1,4
36R,Rubona,Napier + Desmodium,Desmodium,1,4
37R,Rubona,Napier + Desmodium,Napier,1,4
38R,Rubona,Brachiaria v. Mulato II ,Brachiaria,1,4
39R,Rubona,Desmodium + maize,Desmodium,1,4
40R,Rubona,Desmodium + maize,Maize,1,4
41R,Karama,Brachiaria cv. Mulato II ,Brachiaria,1,1
42R,Karama,Napier ,Napier,1,1
43R,Karama,Desmodium ,Desmodium,1,1
44R,Karama,Maize monocrop ,Maize,1,1
45R,Karama,Desmodium + maize,Desmodium,1,1
46R,Karama,Desmodium + maize,Maize,1,1
47R,Karama,Desmodium + Brachiaria ,Desmodium,1,1
48R,Karama,Desmodium + Brachiaria ,Brachiaria,1,1
49R,Karama,Napier + Desmodium,Desmodium,1,1
50R,Karama,Napier + Desmodium,Napier,1,1
51R,Karama,Desmodium + maize,Desmodium,1,2
52R,Karama,Desmodium + maize,Maize,1,2
53R,Karama,Desmodium + Brachiaria ,Desmodium,1,2
54R,Karama,Desmodium + Brachiaria ,Brachiaria,1,2
55R,Karama,Napier,Napier,1,2
56R,Karama,Napier + Desmodium,Desmodium,1,2
57R,Karama,Napier + Desmodium,Napier,1,2
