sample,gwc,moist_soil,truesoil,location,rep,plot,treatment,timepoint,pH
101,0.11209068,9.98,8.861335013,Rubona,1,1,Brachiaria cv. Mulato II ,1,5.3
102,0.132330827,9.97,8.650661654,Rubona,1,2,Napier grass,1,5.92
103,0.10619469,9.98,8.920176991,Rubona,1,3,Desmodium ,1,5.37
104,0.12327044,10.02,8.784830189,Rubona,1,4,Maize monocrop ,1,5.4
105,0.127921279,10.02,8.738228782,Rubona,1,5,Desmodium + maize ,1,5.28
106,0.125935162,10.01,8.749389027,Rubona,1,6,Desmodium + Brachiaria ,1,5.32
107,0.139715395,9.95,8.559831824,Rubona,1,7,Desmodium + Napier,1,5.32
108,0.13141994,9.96,8.651057402,Rubona,2,8,Desmodium + maize ,1,5.2
109,0.118357488,10,8.816425121,Rubona,2,9,Desmodium + Brachiaria ,1,5.19
110,0.115890084,10.02,8.858781362,Rubona,2,10,Napier grass,1,5.22
111,0.120541205,10.02,8.812177122,Rubona,2,11,Desmodium + Napier,1,5.29
112,0.104633782,9.98,8.935754858,Rubona,2,12,Desmodium,1,5.15
113,0.127596439,10.03,8.750207715,Rubona,2,13,Brachiaria cv. Mulato II ,1,5.28
114,0.10102489,10.05,9.034699854,Rubona,2,14,Maize monocrop,1,5.24
115,0.143939394,10.04,8.594848485,Rubona,3,15,Brachiaria cv. Mulato II ,1,5.41
116,0.145675266,10,8.543247344,Rubona,3,16,Desmodium,1,5.43
117,0.131818182,10.03,8.707863636,Rubona,3,17,Desmodium + maize ,1,5.61
118,0.145057766,10.01,8.557971759,Rubona,3,18,Desmodium + Brachiaria ,1,5.53
119,0.13253012,9.96,8.64,Rubona,3,19,Maize monocrop,1,5.46
120,0.145061728,9.98,8.532283951,Rubona,3,20,Desmodium + Napier,1,5.63
121,0.147812971,9.96,8.487782805,Rubona,3,21,Napier grass,1,5.67
122,0.12804878,10.03,8.745670732,Rubona,4,22,Desmodium + Brachiaria ,1,5.59
123,0.326894502,10.04,6.757979198,Rubona,4,23,Maize monocrop,1,4.81
124,0.118694362,10.04,8.848308605,Rubona,4,24,Desmodium,1,5.24
125,0.136778116,9.99,8.623586626,Rubona,4,25,Napier grass,1,5.27
126,#DIV/0!,,#DIV/0!,Rubona,4,26,Desmodium + Napier,1,
127,0.127364439,10,8.726355612,Rubona,4,27,Brachiaria cv. Mulato II ,1,5.38
128,0.132911392,10.01,8.679556962,Rubona,4,28,Desmodium + maize ,1,5.37
129,0.139784946,10.05,8.64516129,Karama,1,1,Brachiaria cv. Mulato II ,1,5.81
130,0.283246978,10.02,7.181865285,Karama,1,2,Napier grass ,1,5.25
131,0.135168961,10.04,8.68290363,Karama,1,3,Desmodium ,1,5.49
132,0.151607963,9.97,8.458468606,Karama,1,4,Maize monocrop ,1,6.12
133,0.151745068,9.99,8.474066768,Karama,1,5,Desmodium + maize ,1,6.2
134,0.149309912,10.04,8.540928482,Karama,1,6,Desmodium + Brachiaria ,1,5.7
135,0.096582467,9.99,9.025141159,Karama,1,7,Desmodium + Napier,1,6.42
136,0.151376147,10.02,8.503211009,Karama,2,8,Desmodium + maize ,1,6.2
137,0.150769231,9.99,8.483815385,Karama,2,9,Desmodium + Brachiaria ,1,5.87
138,0.121765601,9.95,8.738432268,Karama,2,10,Napier grass,1,5.72
139,0.134005764,9.99,8.651282421,Karama,2,11,Desmodium + Napier,1,5.56
140,0.166144201,9.97,8.31354232,Karama,2,12,Desmodium,1,5.96
141,0.13030303,10,8.696969697,Karama,2,13,Brachiaria cv. Mulato II ,1,6.11
142,0.122913505,10.01,8.779635812,Karama,2,14,Maize monocrop,1,5.92
143,0.148484848,10.01,8.523666667,Karama,3,15,Brachiaria cv. Mulato II ,1,5.59
144,0.147905759,10.03,8.546505236,Karama,3,16,Desmodium,1,6.16
145,0.13810111,10.02,8.63622688,Karama,3,17,Desmodium + maize ,1,5.57
146,0.130044843,10,8.69955157,Karama,3,18,Desmodium + Brachiaria ,1,6.08
147,0.154716981,10.04,8.486641509,Karama,3,19,Maize monocrop,1,6
148,0.157894737,10.04,8.454736842,Karama,3,20,Desmodium + Napier,1,5.73
149,0.123493976,9.98,8.74753012,Karama,3,21,Napier grass,1,5.83
150,0.171171171,9.95,8.246846847,Karama,4,22,Desmodium + Brachiaria ,1,5.74
151,0.137469586,9.99,8.616678832,Karama,4,23,Maize monocrop,1,6
152,0.128129602,9.95,8.675110457,Karama,4,24,Desmodium,1,6.4
153,0.135135135,9.95,8.605405405,Karama,4,25,Napier grass,1,6.02
154,0.132390746,9.95,8.632712082,Karama,4,26,Desmodium + Napier,1,6
155,0.177496038,10.01,8.233264659,Karama,4,27,Brachiaria cv. Mulato II ,1,6.55
156,0.148854962,9.95,8.46889313,Karama,4,28,Desmodium + maize ,1,6.38
157,0.334782609,9.95,6.618913043,Burera,1,1,Brachiaria cv. Mulato II ,1,5.09
158,0.31826087,9.99,6.810573913,Burera,1,2,Napier grass,1,4.69
159,0.320970043,10.03,6.810670471,Burera,1,3,Desmodium ,1,4.53
160,0.309314587,10.01,6.913760984,Burera,1,4,Maize monocrop ,1,4.52
161,0.342245989,10,6.577540107,Burera,1,5,Desmodium + maize ,1,4.56
162,0.335347432,9.95,6.613293051,Burera,1,6,Desmodium + Brachiaria ,1,4.63
163,0.302765648,9.99,6.965371179,Burera,1,7,Desmodium + Napier,1,4.52
164,0.353873239,9.96,6.435422535,Burera,2,8,Desmodium + maize ,1,4.99
165,0.316901408,10,6.830985915,Burera,2,9,Desmodium + Brachiaria ,1,4.66
166,0.293609672,10.01,7.070967185,Burera,2,10,Napier grass,1,4.63
167,0.299483649,10.02,7.019173838,Burera,2,11,Desmodium + Napier,1,4.67
168,0.300142248,10.03,7.019573257,Burera,2,12,Desmodium,1,4.47
169,0.298984035,10.02,7.024179971,Burera,2,13,Brachiaria cv. Mulato II ,1,4.71
170,0.31,10.03,6.9207,Burera,2,14,Maize monocrop,1,4.68
171,0.331588133,10.02,6.697486911,Burera,3,15,Brachiaria cv. Mulato II ,1,4.37
172,0.326164875,10.04,6.765304659,Burera,3,16,Desmodium,1,4.42
173,0.347670251,10.05,6.555913978,Burera,3,17,Desmodium + maize ,1,4.71
174,0.34402852,10.03,6.579393939,Burera,3,18,Desmodium + Brachiaria ,1,4.57
175,0.302023121,9.95,6.944869942,Burera,3,19,Maize monocrop,1,4.42
176,0.327195467,10.01,6.734773371,Burera,3,20,Desmodium + Napier,1,4.41
177,0.305916306,10.01,6.947777778,Burera,3,21,Napier grass,1,4.51
178,0.297909408,9.98,7.006864111,Burera,4,22,Desmodium + Brachiaria ,1,4.53
179,0.296551724,10.01,7.041517241,Burera,4,23,Maize monocrop,1,4.88
180,0.294627383,10.01,7.060779896,Burera,4,24,Desmodium,1,4.68
